Rank,Name,Company,Volume,Sides,City,State
59,Leslie McElwreath,"Sotheby's International Realty, Inc.",$192.88M,37.9,Greenwich,CT
60,Ellis Bachman,Compass,$189.69M,55,Manhattan,NY
61,Eric Iantorno,Compass,$187.19M,36,San Diego,CA
62,Sheila Hall,Summit Sotheby's International Realty,$186.87M,119,Park City,UT
63,Kumara Wilcoxon,Kuper Sotheby's International Realty,$186.85M,42,Austin,TX
64,Binkan Cinaroglu,Kuper Sotheby's International Realty,$183.08M,87.2,San Antonio,TX
65,Catherine Jones Coburn,Slifer Smith & Frampton Real Estate,$181.84M,21,Vail,CO
66,Michael Martinez,ONE Sotheby's International Realty,$179.36M,36.3,Coral Gables,FL
67,Liz Daschbach,Compass,$179.10M,27,Menlo Park,CA
68,Tim Davis,Corcoran,$178.27M,7.5,Southampton,NY
69,Shawn Elliott,Nest Seekers International,$176.37M,51,Woodbury,NY
70,Jody Lovell,Highlands Sotheby's International Realty,$176.19M,51.5,Highlands,NC
71,Cristal Clarke,Berkshire Hathaway HomeServices California Properties,$175.69M,29,Montecito,CA
72,Pollena Forsman,Houlihan Lawrence,$174.59M,73,Larchmont,NY
73,Nelson Gonzalez,Berkshire Hathaway HomeServices EWM Realty,$174.31M,16,Miami Beach,FL
74,Shelly Mitchell Lynch,Carmel Realty Company,$173.81M,35,Carmel-by-the-Sea,CA
75,David Dion,HomeSmart (AZ),$173.46M,337,Scottsdale,AZ
75,Julie Tate,HomeSmart (AZ),$173.46M,337,Scottsdale,AZ
77,Valery Neuman,Compass,$173.08M,41,La Quinta,CA
78,Todd Peter,"Sotheby's International Realty, Inc.",$172.18M,11,Palm Beach,FL
79,Michael Rankin,TTR Sotheby's International Realty,$170.47M,41,Washington,DC
80,Stephanie Vitacco,Equity Union Real Estate,$170.13M,142,Los Angeles,CA
81,Julie Church,Houlihan Lawrence,$169.82M,37,Greenwich,CT
82,Stephen Hachey,Flat Fee MLS Realty,$168.61M,337,Riverview,FL
83,Kane Manera,Corcoran,$168.28M,30,Manhattan,NY
84,Vincent Marotta,Illustrated Properties,$168.12M,26.5,Palm Beach Gardens,FL
85,Matt Kanner,Keller Williams Realty Los Feliz,$167.63M,35,Los Angeles,CA
86,Shanna Bradley,Ansley Real Estate Christie's International,$165.86M,100,Atlanta,GA
87,Barbara Gardner,LIV Sotheby's International Realty,$164.69M,28.1,Vail,CO
88,Doug Leibinger,Compass,$164.66M,16.5,Aspen,CO
89,Ellen Mosher,Houlihan Lawrence,$164.46M,31,Greenwich,CT
90,Nichole Shanfeld,Carolwood Estates,$163.00M,17,Beverly Hills,CA
91,Brian Milton,Compass,$162.73M,34,Armonk,NY
92,Jennifer Banner,Compass,$162.66M,8.5,Aspen,CO
93,Dan Dockray,LIV Sotheby's International Realty,$161.83M,28,Telluride,CO
94,Tracy Allen,Coldwell Banker Realty,$161.69M,34.6,Honolulu,HI
95,Chris Adlam,Vista Sotheby's International Realty,$161.36M,49.5,Palos Verdes Estates,CA
96,Joshua Deitch,Coldwell Banker Realty,$160.56M,47.8,Mill Valley,CA
97,Gary DePersia,Corcoran,$159.67M,19,East Hampton,NY
98,Maria Mendelsohn,Douglas Elliman,$159.25M,16.3,Wellington,FL
99,Brett Harris,Douglas Elliman,$157.43M,3,Miami,FL
100,Joan Levinson,Joan Levinson Luxury Realtor,$156.78M,17,Paradise Valley,AZ
101,Tony Nabhan,Keller Williams City Views,$156.50M,109.5,Franklin Lakes,NJ
102,Joel Carson,Utah Real Estate,$156.23M,206,Cottonwood Heights,UT
103,Paul Benson,Engel & Völkers Park City,$155.40M,18,Park City,UT
104,Susan Trevisa,Douglas Elliman,$154.93M,70.5,Miami,FL
105,Joujou Chawla,Compass,$154.22M,55,Danville,CA
106,Tracy McLaughlin,The Agency,$153.26M,29,Larkspur,CA
107,Zac Mostame,Carolwood Estates,$153.00M,10,Beverly Hills,CA
108,Courtney Robertson,Compass,$152.09M,64,Houston,TX
109,Kris Ceretto,The Ceretto Group at Compass,$151.09M,238.7,Erie,CO
110,Hugh Cornish,Coldwell Banker Realty,$149.04M,21.5,Menlo Park,CA
111,Nicholas French,Christie's International Real Estate Sereno,$148.38M,45,Los Altos,CA
112,Mark Sletten,Engel & Völkers Park City,$147.81M,82,Park City,UT
113,Dania Perry,CENTURY 21 Jim White & Associates,$146.90M,83,Treasure Island,FL
114,Ishmael Perez,Douglas Elliman,$145.64M,69.5,Miami,FL
115,Jon Flagg,Pacific Sotheby's International Realty,$144.74M,29.7,Newport Beach,CA
116,Ann Cutbill Lenane,Douglas Elliman,$143.79M,44.1,New York,NY
117,Caroline Bean,Compass,$143.70M,60,Houston,TX
118,Mario Venancio,"Berkshire Hathaway HomeServices Fox & Roach, REALTORS®",$143.46M,93,Rumson,NJ
119,Adam Kaufman,Howard Hanna Real Estate Services,$143.35M,153.5,Pepper Pike,OH
120,Debi Benoit,William Raveis,$142.51M,48,Wellesley,MA
121,Jennifer Gilson,Golden Gate Sotheby's International Realty,$142.00M,45.8,Burlingame,CA
122,Erin Lail,Coldwell Banker Brokers of the Valley,$141.45M,30.1,Saint Helena,CA
123,Dana Trotter,The Agency Hamptons,$141.30M,34,Bridgehampton,NY
124,Neal Ward,Compass,$140.91M,20,San Francisco,CA
125,Chris Carr,HomeZu by Simple Choice,$140.08M,362,Lafayette Hill,PA
126,Susan Baldwin,Allie Beth Allman & Associates,$139.09M,50,Dallas,TX
127,Mike Mahlstedt,Compass,$138.77M,53,Houston,TX
128,Chao Wen,Compass,$138.34M,57,Menlo Park,CA
129,Joseph Barbieri,"Sotheby's International Realty, Inc.",$136.69M,17,Greenwich,CT
130,Garrett Noel,Berkshire Hathaway HomeServices Utah Properties,$136.40M,28,Park City,UT
131,Tara Shapiro,Coldwell Banker Realty,$136.35M,14.5,Newport Beach,CA
132,Shelton Wilder,Christie's International Real Estate Southern California,$136.30M,37,Los Angeles,CA
133,Cheryl Foote,Compass,$135.50M,79,Steamboat Springs,CO
134,Marcy F Javor,"Signature ONE Luxury Estates, LLC",$134.20M,32,Boca Raton,FL
135,Jena Radnay,@properties Christie's International Real Estate,$133.91M,49,Winnetka,IL
136,David Richardson,Hawaii Life,$133.08M,15,Wailea,HI
137,Krissy Blake,"Sotheby's International Realty, Inc.",$132.30M,24.5,Greenwich,CT
138,Robertson  Allen,The Cassina Group,$132.26M,34,Charleston,SC
139,Tim Wolter,HomeSmart Evergreen Realty,$132.22M,58,Irvine,CA
140,Chase Mizell,Atlanta Fine Homes Sotheby's International Realty,$131.91M,72.4,Atlanta,GA
141,Gary Keshishyan,Pinnacle Estate Properties Inc.,$131.75M,135,Porter Ranch,CA
142,Charlie Pigott,Corcoran,$131.72M,76.2,Brooklyn,NY
143,Amy McCafferty,Golden Gate Sotheby's International Realty,$130.77M,38,Los Gatos,CA
144,Melissa Goldstein Tucci,Coldwell Banker West,$130.53M,118.8,San Diego,CA
145,Steve McCarrick,Coldwell Banker Realty,$130.08M,33.2,Saratoga,CA
146,Carlos Alvarez,RE/MAX Total,$130.01M,343,Baton Rouge,LA
147,Nicole Vanparys,Engel & Völkers Westlake Village,$129.91M,24,Westlake Village,CA
148,Brahmananda Kataru,HomeSmart (CO),$129.29M,189,Greenwood Village,CO
149,Robert Dullnig,Kuper Sotheby's International Realty,$128.86M,26.1,San Antonio,TX
150,Michael Ledwitz,Engel & Völkers Boca Raton,$128.49M,94,Boca Raton,FL
151,Yvonne Yang,Compass,$127.57M,58,Los Altos,CA
152,Anson Ip,Compass,$126.96M,48,Cupertino,CA
153,Josh Rubin,Compass,$126.81M,31,Menlo Park,CA
154,Lori Berris,"Sotheby's International Realty, Inc.",$126.59M,45.3,Beverly Hills,CA
155,Susan Gregory,Onward Real Estate,$125.75M,91,Franklin,TN
156,Dante Disabato,William Raveis,$125.10M,23.5,Naples,FL
157,Tara Coveney,Coldwell Banker Realty,$123.87M,55.3,Hingham,MA
158,Jill Bernard,Brown Harris Stevens,$122.51M,34,Manhattan,NY
159,Janet Wang,Corcoran,$122.18M,13,Manhattan,NY
160,Vicky Yu,Coldwell Banker,$121.78M,50,San Carlos,CA
161,Fan Wang,Keller Williams Thrive,$121.65M,55,Cupertino,CA
162,Harald Grant,"Sotheby's International Realty, Inc.",$121.38M,5,Southampton,NY
163,Rochelle Lecavalier,Douglas Elliman,$121.00M,38.1,Boca Raton,FL
164,Mariana Niro,SERHANT.,$120.47M,46,Miami,FL
165,David Offer,Berkshire Hathaway HomeServices California Properties,$119.66M,18,Los Angeles,CA
166,Randy Waller,W Real Estate,$119.29M,108.5,Santa Rosa,CA
167,Pamela Perkins,Four Seasons Sotheby's International Realty,$118.54M,65.3,New London,NH
168,Matt Blake,LIV Sotheby's International Realty,$116.90M,29.2,Vail,CO
169,Ryan Kramer,RE/MAX Associates,$116.79M,187,Saint George,UT
170,Frank Sajtar,William Raveis,$116.01M,13,Naples,FL
171,John Shroyer,Golden Gate Sotheby's International Realty,$115.58M,46,San Carlos,CA
172,Lisa Yakulis,Kurfiss Sotheby's International Realty,$115.14M,38,Bryn Mawr,PA
173,Chandra Miller,Maury People Sotheby's International Realty,$115.05M,19,Nantucket,MA
174,Richard Ziegelasch,Corcoran,$114.65M,13,Manhattan,NY
175,Stacie Chadwick,LIV Sotheby's International Realty,$114.37M,50.8,Castle Rock,CO
176,Nick Toon,RETSY,$114.27M,28,Scottsdale,AZ
177,Tim Abney,Keller Williams Realty Community Partners,$113.77M,12,Cumming,GA
178,Ginger Weeks,RE/MAX DFW Associates VIII,$113.76M,251,Dallas,TX
179,Maggie Keats,Douglas Elliman,$113.14M,38.3,Port Washington,NY
180,Teri Adler,MGS Group Real Estate,$113.10M,54,Wellesley,MA
181,Neal Norman,Hawaii Life,$112.59M,26.5,Hanalei,HI
182,Rochelle Atlas Maize,Nourmand & Associates,$112.44M,14,Beverly Hills,CA
183,Rex Miller,William Raveis,$112.28M,14,Naples,FL
184,Patrick Leavy,Kidd & Leavy Real Estate,$112.27M,61,Petoskey,MI
185,Matilde Sorensen,"Dale Sorensen Real Estate, Inc.",$112.14M,46.5,Vero Beach,FL
186,James Giugliano,Nest Seekers International,$111.97M,22,Southampton,NY
187,Chris Resop,The Agency Naples,$111.89M,25,Naples,FL
188,Tamir Shemesh,Nest Seekers International,$111.61M,53,New York,NY
189,Anne Lusk,Lusk & Associates Sotheby's International Realty,$111.32M,131.2,Lancaster,PA
190,Scott Aurich,Pacific Sotheby's International Realty,$111.30M,31.8,Coronado,CA
191,Emil Hartoonian,The Agency,$111.08M,27,Calabasas,CA
192,Kelly Horn,Berkshire Hathaway HomeServices Utah Properties,$110.95M,30,Park City,UT
193,Joseph Sabeh,Golden Gate Sotheby's International Realty,$110.58M,49,Danville,CA
194,Ginger Martin,"Sotheby's International Realty, Inc.",$110.55M,19.5,Saint Helena,CA
195,Daniel Casabonne,"Sotheby's International Realty, Inc.",$110.49M,66.2,Sonoma,CA
196,Michael Lapay,Summit Sotheby's International Realty,$110.23M,35.5,Park City,UT
197,Justin Paul Huchel,Carolwood Estates,$110.00M,9,Beverly Hills,CA
198,Ryan Xu,Coldwell Banker Danforth,$109.68M,59.8,Bellevue,WA
199,Lisa Westcott,RETSY,$109.61M,29,Scottsdale,AZ
200,Taylor Burstyn,Slifer Smith & Frampton Real Estate,$109.55M,33,Snowmass,CO
201,Sam Augustine,Compass,$109.13M,32,Aspen,CO
202,David Curry,Geneva Lakefront Realty,$109.12M,20,Lake Geneva,WI
203,James Heckenberg,"Rodeo Realty, Inc",$108.73M,35,Beverly Hills,CA
204,Eric Fischer-Colbrie,Intero Real Estate Services,$108.60M,34.3,Los Altos,CA
205,Chris Searles,Slifer Smith & Frampton Real Estate,$108.15M,19,Snowmass,CO
206,Erika Demma,Compass,$107.69M,16,Woodside,CA
207,Marilyn Wright,Premier Sotheby's International Realty,$107.67M,50,Asheville,NC
208,Lancelot Watson-Taffe,SERHANT.,$107.38M,138,Brooklyn,NY
209,Daniel Xi,Coldwell Banker Realty,$107.32M,53.2,Cupertino,CA
210,Christopher Lecca,William Raveis,$106.61M,75.5,Naples,FL
211,Georgia Kopelousos,Michael Saunders & Company,$106.55M,31,Longboat Key,FL
211,Lynn Morris,Michael Saunders & Company,$106.55M,31,Longboat Key,FL
213,Jim DeRentis,Residential Properties Ltd.,$106.39M,87,Providence,RI
214,Lamisse Droubi,Generation Real Estate,$106.05M,35,San Francisco,CA
215,Dano Sayles,Coldwell Banker Island Properties,$105.66M,45,Wailea,HI
216,Christopher Finlay,Brown Harris Stevens,$105.61M,13,Greenwich,CT
217,Pamela D'Arc,Compass,$105.60M,72,Manhattan,NY
218,Blake Appleby,Compass,$105.27M,9.5,Aspen,CO
219,Stephanie Robinson,RealtySouth,$105.27M,71,Birmingham,AL
220,Yvonne Khouri-Morgan,Corcoran Pacific Properties,$104.63M,18.5,Waimea,HI
221,Denise Dreyer,Ward Wight Sotheby's International Realty,$104.50M,26,Sea Girt,NJ
222,Michael Libow,Compass,$104.10M,59,Beverly Hills,CA
223,Sahar Moghadam,Align Homes,$104.06M,135,Chino Hills,CA
224,Jeffrey Dewing,Coldwell Banker Realty,$104.05M,42,Wayzata,MN
225,Zach Elliott,Nest Seekers International,$104.01M,39,Manhasset,NY
226,Eric Narosov,Allie Beth Allman & Associates,$104.00M,59,Dallas,TX
227,Daniel Blatman,Compass,$103.83M,23,Manhattan,NY
228,Anthony Hernandez,Illustrated Properties,$103.73M,12.5,Palm Beach Gardens,FL
229,Christine Hazelton,Houlihan Lawrence,$103.58M,56,Rye,NY
230,Ash Rizk,Coldwell Banker Realty,$103.50M,32.5,Arcadia,CA
231,Mark Cleary,Cannon Cleary McGraw,$103.06M,209,Oxford,MS
232,Karen Sandvig,Coldwell Banker Realty,$102.84M,22,Westlake Village,CA
233,Jaime Krupnick,Engel & Völkers Westlake Village,$102.77M,31,Westlake Village,CA
234,Sari Libbin,Douglas Elliman,$102.71M,46.9,Miami,FL
235,Tamara Sherrill,RE/MAX Alliance,$102.63M,203,Fort Collins,CO
236,Heather McMaster,Corcoran,$102.00M,55.5,Brooklyn,NY
237,Chris Klug,Aspen Snowmass Sotheby's International Realty,$101.99M,14,Aspen,CO
238,Mary Anne Fitch,Coldwell Banker Island Properties,$101.62M,14,Lahaina,HI
239,Bob Bredel,Christie's International Real Estate Sereno,$100.88M,44,San Carlos,CA
240,Richard Trey Dewey,Pacific Sotheby's International Realty,$100.75M,15.8,Laguna Beach,CA
241,Josh Smith,Allen Tate/Beverly-Hanks Realtors,$100.18M,59,Arden,NC
242,Dee Dee Guggenheim Howes,Compass,$100.00M,43,Houston,TX
243,Dennis Carvajal,ONE Sotheby's International Realty,$99.94M,19.4,Coral Gables,FL
244,Annie Watson,Coldwell Banker Realty,$99.82M,25.3,Palo Alto,CA
245,Chandra Kaladhar Vennapusa,eXp Realty,$99.75M,97,Bothell,WA
246,Kim Bibb,Pacific Sotheby's International Realty,$99.61M,15.9,Newport Beach,CA
247,Kim Panozzo,HomeSmart (AZ),$99.49M,148,Scottsdale,AZ
247,Dave Panozzo,HomeSmart (AZ),$99.49M,148,Scottsdale,AZ
249,Carol Falciano,William Raveis,$99.48M,34,Mirasol,FL
250,Michael Ivancevic,Illustrated Properties,$99.27M,17,Jupiter,FL
251,Thomas Cavallo,Douglas Elliman,$99.18M,19,Sag Harbor,NY
252,Daniella Schlisser,Brown Harris Stevens,$99.14M,19,Manhattan,NY
253,Jessica Buchman,Corcoran,$99.13M,36.5,Brooklyn,NY
254,Sarah Rogers,The Agency,$98.91M,37,Pasadena,CA
255,Helena Chen,eXp Realty,$98.70M,47,Medina,WA
256,Lori Joyal,Compass,$98.69M,44,Westerly,RI
257,Alison Elder,Elder Group Tahoe Real Estate,$98.23M,61,Truckee,CA
258,Valerie Mein,Coldwell Banker Realty,$98.21M,33.1,Los Gatos,CA
259,Philip DeMatteo,First Team Real Estate,$98.10M,60.7,Seal Beach,CA
260,Malia Cox Nobrega,LIV Sotheby's International Realty,$97.56M,16.8,Vail,CO
261,Ellen Gonik,Coldwell Banker Realty,$97.54M,76,Livingston,NJ
262,Rob Johnson,Brown Harris Stevens,$97.45M,15,Greenwich,CT
263,Michael Harrington,"Sotheby's International Realty, Inc.",$97.16M,10,San Francisco,CA
264,Kathleen Winter,Berkshire Hathaway HomeServices California Properties,$97.13M,7,Santa Barbara,CA
265,Dan Urbach,Compass,$96.94M,24,Los Angeles,CA
266,Mary Lee,Ocean Reef Club Sotheby's International Realty,$96.87M,10,Key Largo,FL
267,Darin Tansey,Douglas Elliman,$96.55M,8.5,Miami Beach,FL
268,Jill Fusari,The Agency,$96.37M,33,Alamo,CA
269,Jason Pham,Intero Real Estate Services,$96.34M,50,Fremont,CA
270,Shen Schulz,"Sotheby's International Realty, Inc.",$96.21M,29.5,Malibu,CA
271,Josh McAdam,"Sotheby's International Realty, Inc.",$95.91M,16,San Francisco,CA
272,Susan Breitenbach,Corcoran,$94.68M,11,Southampton,NY
273,Josh Myler,The Agency,$94.60M,24,Beverly Hills,CA
274,Angela Kessel,Houlihan Lawrence,$94.26M,43,Bedford,NY
275,Jia Ling Li,CENTURY 21 Real Estate Alliance,$94.25M,82.3,San Francisco,CA
276,Jessica Koltun,Jessica Koltun Home,$93.70M,75,Dallas,TX
277,Michael Okun,"Sotheby's International Realty, Inc.",$93.56M,45,Los Angeles,CA
278,Janet Shields,Watson Realty Corp.,$93.37M,47,Atlantic Beach,FL
279,Laura Bertolacci,Christie's International Real Estate Sereno,$93.06M,42,San Carlos,CA
280,Nick Abbadessa,RE/MAX Masters Realty,$92.91M,66,La Verne,CA
281,Mark Abdel,RE/MAX Advantage Plus,$92.70M,175,Savage,MN
282,Carol Sollak,Engel & Völkers Wellington,$92.67M,29,Wellington,FL
283,Nancy Dowson,Keller Williams Capital Realty,$92.66M,129,Coral Gables,FL
284,Mary Golding,Christie's International Real Estate Southern California,$92.62M,20,Corona Del Mar,CA
285,Blair Chang,The Agency,$92.57M,11,Beverly Hills,CA
286,Adrian Radomski,Compass,$92.53M,20,Manhattan,NY
287,Tyler Stewart,Heath Real Estate,$92.32M,35,Sausalito,CA
288,Elena Price,Coldwell Banker Realty,$92.03M,54.7,Westwood,MA
289,Susan Smith,Carolwood Estates,$92.00M,11,Beverly Hills,CA
290,Jordan Mott,Intero Real Estate Services,$91.97M,50.5,San Jose,CA
291,Frank Martin,Keller Williams Realty Group,$91.92M,24,Limerick,PA
292,Robert Kinlin,Berkshire Hathaway HomeServices Robert Paul Properties,$91.71M,21,Barnstable,MA
293,Josh Jerman,Hawaii Life,$91.49M,39,Wailea,HI
294,Sharon Ballas,Greenwood King Properties,$91.42M,46,Houston,TX
295,Gary Ward,CENTURY 21 Affiliated,$91.30M,44,San Clemente,CA
296,Bonnie Heatzig,Compass,$91.25M,27,Boca Raton,FL
297,Julie Hopkins,KW Park City Keller Williams,$90.86M,35,Park City,UT
298,Laurie Mensing,Long & Foster Real Estate,$90.62M,58,McLean,VA
299,Richard Bryan,"Fridrich & Clark Realty, LLC",$90.26M,76,Nashville,TN
300,Blair Miller,Wilson Associates LLC,$89.96M,106,Greenville,SC
301,Matt McGraw,Cannon Cleary McGraw,$89.68M,194,Oxford,MS
302,Craig Knizek,The Agency,$89.66M,21,Los Angeles,CA
303,Haik Bokhchalian,JohnHart Real Estate,$89.36M,90,Burbank,CA
304,Charlotte Maietto,Douglas Elliman,$89.28M,32.1,Miami,FL
305,Brian Chancellor,Christie's International Real Estate Sereno,$88.66M,21,Palo Alto,CA
306,Julie Wyss,KW Bay Area Estates - Los Gatos,$88.29M,52.3,Los Gatos,CA
307,Annie Zhou,Compass,$88.00M,32,Los Altos,CA
308,Jared Schwadron,Compass,$87.98M,10,Manhattan,NY
309,Jamieson Duston,Duston Leddy Real Estate,$87.83M,63,Portsmouth,NH
310,Latham Jenkins,Live Water Properties,$87.80M,11,Jackson,WY
311,John Paul Prebish,William Raveis,$87.60M,22,Naples,FL
312,Paul Sudell,Ferguson Dechert Real Estate,$87.44M,26,Avalon,NJ
313,Jonah Wilson,Carolwood Estates,$87.00M,13,Beverly Hills,CA
314,Martha Gundersen,Douglas Elliman,$86.84M,11.4,Cutchogue,NY
315,Dan Gutfreund,Signature Sotheby's International Realty,$86.83M,58,Birmingham,MI
316,Cathy Taub,"Sotheby's International Realty, Inc.",$86.69M,14,Manhattan,NY
317,Sandra Tanco,Kinlin Grover Compass,$86.39M,32,Harwich,MA
318,Mike Aqrawi,San Diego Homes Realty,$86.32M,81,El Cajon,CA
319,Dirk Hmura,The Agency Portland,$86.19M,90,Portland,OR
320,Gigi Ji,Coldwell Banker Realty,$85.85M,43.4,Cupertino,CA
321,Robyn Robinson,Compass,$85.29M,31,Dana Point,CA
322,Kendall Borelli,West Shore Properties Real Estate And Management LLC,$85.07M,17,Naples,FL
323,Mini Kalkat,Intero Real Estate Services,$85.04M,29,Los Altos,CA
324,Jason Zhou,RE/MAX Edge,$85.01M,57,Brooklyn,NY
325,Charles Sullivan,"Carriage Properties, LLC.",$84.99M,26,Charleston,SC
326,Cheryl Kypreos,HomeSmart/Keller Williams,$84.92M,240,Greenwood Village,CO
327,Cyril Bijaoui,Corcoran,$84.67M,15,Miami Beach,FL
328,Paul Brennan,Douglas Elliman,$84.33M,9.4,Cutchogue,NY
329,Alex Zhao,RE/MAX 2000,$84.05M,55.5,City of Industry,CA
330,Kim Bedwell,Briggs Freeman Sotheby's International Realty,$84.04M,42,Southlake,TX
331,Sue Engelmann,Berkshire Hathaway HomeServices Sun Valley Properties,$84.00M,30,Ketchum,ID
332,Nancy Tassone,Jameson Sotheby's International Realty,$83.99M,28.8,Chicago,IL
333,Onie Bolduc,Summit Sotheby's International Realty,$83.91M,17,Park City,UT
334,Sam Williams,Coldwell Banker Schmitt Real Estate Co.,$83.42M,60.8,Marathon,FL
335,Andra O'Neill,@properties Christie's International Real Estate,$83.12M,52,Lake Forest,IL
336,Bk Bates,Houlihan Lawrence,$82.98M,19,Greenwich,CT
337,Colleen Sherlock,Greenwood King Properties,$82.82M,86,Houston,TX
338,Kimberly Cestari,Long & Foster Real Estate,$82.78M,59.3,Washington,DC
339,Dan Wolski,Russ Lyon Sotheby's International Realty,$82.67M,28.2,Scottsdale,AZ
340,Daniel Tzinker,The Agency Miami,$82.61M,22,Miami,FL
341,Susan Mathews,Allie Beth Allman & Associates,$82.30M,25,Southlake,TX
342,Kristine Stultz,Lapis Homes,$82.28M,51,Anacortes,WA
343,Melissa Greer,Berkshire Hathaway HomeServices Yost & Little Realty,$82.13M,153,Greensboro,NC
344,Erik Cavarra,Engel & Völkers Aspen,$82.09M,52,Aspen,CO
345,Marilyn Clark,"Sotheby's International Realty, Inc.",$82.07M,8,Bridgehampton,NY
346,K. Ann Brizolis,Pacific Sotheby's International Realty,$81.85M,20,Rancho Santa Fe,CA
347,Nancy Roth,Gibson Sotheby's International Realty,$81.83M,60,Boston,MA
348,Mike Bohnert,Coldwell Banker Realty,$81.55M,29.3,Burlingame,CA
349,Ashley Crain,Crain Homes,$81.39M,37,Birmingham,MI
350,Michelle Griffith,Douglas Elliman,$81.12M,20.4,New York,NY
